N°	VARIABLE INICIAL	VARIABLE FINAL	TIPO DE DATO	PK	DESCRIPCION	ESTADO/RAZON_AUDITORIA
1	mes_base	cod_mes	string		Periodo de referencia en formato año-mes.	ID
2	tipo_documento	tip_doc	string	PK	Tipo de documento de identificación del cliente.	ID
3	num_documento	key_value	string	PK	Número de documento del cliente, correspondiente al tipo de documento indicado.	ID
4	codunico	|	string	PK	Código único que identifica al cliente.	ID
5	tipo_cliente	tip_cliente	string		Tipo de cliente: persona natural o jurídica.	UNICO
6	fecha_vinculacion	fec_vinculacion	date		Fecha en la que el cliente se vinculó (año-mes-dia)	ID
7	fecha_nacimiento	fec_nac_value	date		Fecha de nacimiento del cliente(debe estar encriptado- dato sensible)	SIN-EVID
8	edad	num_edad_value	int		Edad del cliente(debe estar encriptado- dato sensible)	SIN-EVID
9	nacionalidad	cod_nacionalidad	string		Nacionalidad del cliente	SIN-EVID
10	fecha_constitucion	fec_constitucion	date		Fecha de constitución de la empresa (año-mes-dia)	ID
11	edad_constitucion	num_edad_constitucion	int		Número de años desde la constitución de la empresa	SQL-01
12	provincia	desc_provincia	string		Provincia correspondiente a la dirección del cliente.	SQL-01
13	departamento	desc_departamento	string		Departamento correspondiente a la dirección del cliente	SQL-01
14	v12_lugar_residencia_riesgo	cod_v12_lugar_rsdn_rsg	string		Clasificación del lugar de residencia según el nivel de riesgo	SIN-EVID
15	ubigeo_cd	cod_ubigeo_cd	string		Código UBIGEO del cliente	MODELO(#31;0.56%)
16	sectorista_id	cod_sectorista_id	string		Identificador del sector asignado al cliente	MODELO(#32;0.55%)
17	riesgo_pep	cod_rsg_pep	codunico		Nivel de riesgo asignado al cliente por su condición de PEP.	SQL-01
18	flag_pep	flg_pep	int		Indicador que señala si el cliente ha sido clasificado como PEP	SQL-01
19	cargo_pep	desc_cargo_pep	string		Cargo o función pública ejercida por el cliente que le otorga la condición de PEP.	SIN-EVID
20	fecha_inicio_pep	cod_fecha_inicio_pep	string		Fecha de inicio de la condición de PEP	SIN-EVID
21	fecha_fin_pep	cod_fecha_fin_pep	string		Fecha de cese del cargo o condición de PEP	SIN-EVID
22	flag_activo_pep	flg_activo_pep	string		Indicador que determina si la condición de PEP aún está activa	SQL-01
23	tipo_cliente_sensible	tip_cliente_snsb_value	string		Clasificación del cliente según riesgo sensible	SIN-EVID
24	score_con_excepcion	num_score_con_excepcion	decimal(38,6)		Score de riesgo del cliente	SIN-EVID
25	ciiu_v4	cod_ciiu_v4	string		Codigos ciiu (Clasificación Industrial Internacional Uniforme) según la sunat versión 4	SQL-01
26	descripcion_ciiu_v4	desc_ciiu_v4	string		Descripción de los codigos ciiu (Clasificación Industrial Internacional Uniforme) según la sunat versión 4	SIN-EVID
27	facturacion	mto_fact_declarado_sunat	decimal(38,6)		Monto de facturación declarado del cliente, según SUNAT	MODELO(#30;0.59%)
28	coddocrele	key_value_rele	string		Código de representante legal de la empresa relacionada	ID
29	tipobancadesc	desc_tipobanca	string		Tipo de banca asignada al cliente	SIN-EVID
30	flag_activo	flg_activo	int		Indicador si el cliente mantiene productos activos	SIN-EVID
31	flag_pasivo	flg_pasivo	int		Indicador si el cliente tiene productos pasivos	SIN-EVID
32	pasivo_soles	mto_pas_soles	decimal(38,6)		Monto de pasivos del cliente en moneda de tipo soles.	MODELO(#2;8.81%)
33	flag_casos_12m	flg_casos_12m	int		Indicador si el cliente ha tenido casos de investigación por PLAFT en los últimos 12 meses.	UNICO
